Afghanistan|381|142251
Albania|2|1085
Algeria|4116|1499619
Andorra|4|717
Angola|889|172711
Argentina|169|52563
Armenia|2|1664
Aruba|18|10487
Ascension|161|59022
Australia|3192|1313777
Austria|968|375364
Azerbaijan|53|2744
Bahamas|1|61
Bahrain|430|276887
Bangladesh|9762|579279
Barbados|47|10221
Belarus|53|23125
Belgium|159634|35255296
Belize|31|6387
Benin|2732|477673
Bermuda|14|3413
Bhutan|4175|2076470
Bolivia|2135|1037494
Bosnia and Hercegovina|52|12640
Botswana|728|116944
Brazil|126|51097
British Virgin Islands|1994|1029741
Bulgaria|17|4918
Burkina Faso|1409|257426
Burma (Myanmar)|22|12308
Burundi|36275|6045997
Cambodia|14904|890733
Cameroon|7623|1231197
Canada|10095|6097568
Cape Verde|5|3948
Cayman Islands|17|5039
Central African Republic|820|182184
Chad|1009|238465
Chile|25|11709
China|143873|11522965
Colombia|32|20845
Comoros|67|12413
Costa Rica|160|55864
Cote d'Ivoire|3938|910988
Croatia|2293|1068602
Cuba|31|22645
Cyprus|503|138949
Czech Republic|42|20924
Democratic Republic of the Congo|84786|8809825
Denmark|1804|932918
Diego-Garcia|187|70603
Djibouti|126|32658
Dominican Republic|8|1950
Ecuador|15|2648
Egypt|2250|808062
El Salvador|7|8095
Equatorial Guinea|337|145429
Eritrea|1|1104
Estonia|17|8167
Ethiopia|2714|664020
European Telephony Numbering Space|47|28072
Faroe Islands|1|426
Finland|1234|377513
France|87191|30825734
French Antilles|10|2854
French Guiana|35|13216
Gabon|1393|325750
Gambia|61|5618
Georgia|11|533
Germany|22875|11743958
Ghana|6807|1439794
Global Mobile Satellite System|9851|559797
Greece|60093|3632609
Greenland|344|187147
Guatemala|2|158
Guinea|777|127413
Guinea-Bissau|298|77930
Haiti|841|182695
Honduras|810|349609
Hong Kong|24566|1938397
Hungary|103|33458
Iceland|65|14795
India|13271|2787761
Indonesia|1|610
Inmarsat "SNAC" service|34|5269
Inmarsat (Atlantic East)|24|8301
Inmarsat (Atlantic West)|16352|1037000
Inmarsat (Indian)|11204|687029
Inmarsat (Pacific)|1|139
International Networks|33803|2952170
Iran|292|106949
Iraq|852|211509
Ireland|2136|1078572
Israel|632|44665
Italy|20916|9323345
ITPCS trials|12|2278
Jamaica|141|59503
Japan|1179|380105
Jordan|232|68681
Kenya|236827|42086016
Kuwait|33|6987
Kyrgyz Republic|34|14915
Laos|22775|3335612
Latvia|34|16269
Lebanon|234|53131
Lesotho|57|18102
Liberia|2140|540465
Libya|1093|212167
Liechtenstein|13|3270
Lithuania|122|54726
Luxembourg|5383|2733155
Macao|25156|2049151
Macedonia|15|1416
Madagascar|208|39818
Malawi|8919|1019880
Malaysia|888|647935
Maldives|1|170
Mali|2913|589879
Malta|10|2770
Maritime Mobile|47375|3503866
Marshall Islands|2|782
Martinique|5|3301
Mauritania|89|8258
Mauritius|384|85414
Mayotte and Reunion|476|88047
Mexico|45|22465
Moldova|1|21
Monaco|17|3838
Mongolia|67|5420
Morocco|4498|2177029
Mozambique|2130|308787
Namibia|606|155430
National mobile/maritime uses|9899|621371
Nepal|2|307
Netherlands|90902|11379944
Netherlands Antilles|3|3031
New Zealand|13|5095
Nicaragua|5|515
Niger|488|101417
Nigeria|11478|1682162
North Korea|53456|5832296
Norway|6537|2934000
Oman|94|19101
Pakistan|1141|276778
Palestine|48|15684
Panama|14|7463
Peru|905|553406
Poland|408|194106
Portugal|131|23678
Puerto Rico|77|42285
Qatar|182|56605
Republic of the Congo|6563|1059907
Romania|5135|2712194
Russia|5679|2716426
Kazakhstan|5679|2716426
Rwanda|518|344747
San Marino|5|1257
Sao Tome and Principe|12|5922
Saudi Arabia|911|72477
Senegal|6823|1572336
Serbia|96|19344
Seychelles|289|91878
Shared Cost Services|3|2701
Sierra Leone|511|128001
Singapore|250|164165
Slovakia|6|4455
Slovenia|105|36405
Somalia|330|52971
South Africa|39093|7189562
South Korea|24574|1397254
Spain|7497|3397940
Sri Lanka|584|134577
St Helena and Tristan da Cunha|22|11968
St Lucia|37|9988
St Pierre and Miquelon|3|991
Sudan|28095|4865094
Suriname|3|701
Swaziland|833|176155
Sweden|6406|3117068
Switzerland|10260|5390170
Syria|196|41981
Taiwan|20272|2651140
Tajikistan|6|2234
Tanzania|1283588|219258428
Telecommunications for Disaster Relief|14146|1121237
Togolese Republic|1132|161966
Trinidad and Tobago|209|85445
Tunisia|2617|967779
Turkey|8443|4056984
Turkmenistan|5169|2557524
Uganda|497636|42131658
Ukraine|391|88289
United Arab Emirates|22282|3063626
United Kingdom|102955|62791359
United States|149329|70597389
Universal Personal Telecommunications|7423|391811
Uzbekistan|14|1211
Venezuela|49|19871
Vietnam|232505|20323451
Yemen|52|8371
Zambia|14137|1530871
Zimbabwe|3568|1203555
